team,league,homeruns,strikeouts,wins,teamAbbrev
Los Angeles Dodgers,National,212,1374,111,LAD
Houston Astros,American,214,1179,106,HOU
Atlanta Braves,National,243,1498,101,ATL
New York Mets,National,171,1217,101,NYM
New York Yankees,American,254,1391,99,NYY
St. Louis Cardinals,National,197,1226,93,STL
Cleveland Guardians,American,127,1122,92,CLE
Toronto Blue Jays,American,200,1242,92,TOR
Seattle Mariners,American,197,1462,90,SEA
San Diego Padres,National,153,1327,89,SDP
Philadelphia Phillies,National,205,1363,87,PHI
Milwaukee Brewers,National,219,1464,86,MIL
Tampa Bay Rays,American,139,1395,86,TBR
Baltimore Orioles,American,171,1390,83,BAL
Chicago White Sox,American,149,1269,81,CWS
San Francisco Giants,National,183,1327,81,SFG
Minnesota Twins,American,178,1353,78,MIN
Boston Red Sox,American,155,1373,78,BOS
Chicago Cubs,National,159,1448,74,CHC
Arizona Diamondbacks,National,173,1341,74,ARI
Los Angeles Angels,American,190,1539,73,LAA
Miami Marlins,National,144,1429,69,MIA
Texas Rangers,American,198,1446,68,TEX
Colorado Rockies,National,149,1330,68,COL
Detroit Tigers,American,110,1413,66,DET
Kansas City Royals,American,138,1287,65,KCR
Pittsburgh Pirates,National,158,1497,62,PIT
Cincinnati Reds,National,156,1430,62,CIN
Oakland Athletics,American,137,1389,60,OAK
Washington Nationals,National,136,1360,55,WAS